UniprotID,chembl_targets,type
P57058,CHEMBL1795165,SINGLE PROTEIN
P57059,CHEMBL6082,SINGLE PROTEIN
P57078,CHEMBL6083,SINGLE PROTEIN
P68400,CHEMBL3629,SINGLE PROTEIN
P68400,CHEMBL2095191,PROTEIN COMPLEX GROUP
P68400,CHEMBL3038477,PROTEIN COMPLEX
P68400,CHEMBL3832943,PROTEIN FAMILY
P78356,CHEMBL5667,SINGLE PROTEIN
P78362,CHEMBL5668,SINGLE PROTEIN
P78368,CHEMBL2543,SINGLE PROTEIN
P78368,CHEMBL2111458,PROTEIN FAMILY
P78527,CHEMBL3142,SINGLE PROTEIN
P78527,CHEMBL4106136,PROTEIN COMPLEX
P80192,CHEMBL2872,SINGLE PROTEIN
Q00526,CHEMBL4442,SINGLE PROTEIN
Q00526,CHEMBL2111444,PROTEIN COMPLEX GROUP
Q00526,CHEMBL3038471,PROTEIN COMPLEX
Q00526,CHEMBL3559691,PROTEIN FAMILY
Q00532,CHEMBL5789,SINGLE PROTEIN
Q00534,CHEMBL2508,SINGLE PROTEIN
Q00534,CHEMBL2111448,PROTEIN COMPLEX
Q00534,CHEMBL2111455,PROTEIN COMPLEX
Q00534,CHEMBL3301386,PROTEIN COMPLEX
Q00534,CHEMBL3559691,PROTEIN FAMILY
Q00534,CHEMBL3885553,PROTEIN FAMILY
Q00535,CHEMBL1907600,PROTEIN COMPLEX
Q00535,CHEMBL4036,SINGLE PROTEIN
Q00535,CHEMBL3559691,PROTEIN FAMILY
Q00535,CHEMBL3885549,PROTEIN COMPLEX
Q00536,CHEMBL4597,SINGLE PROTEIN
Q00536,CHEMBL3559691,PROTEIN FAMILY
Q00536,CHEMBL3885550,PROTEIN COMPLEX
Q00537,CHEMBL5790,SINGLE PROTEIN
Q00537,CHEMBL3559691,PROTEIN FAMILY
Q01974,CHEMBL2375201,SINGLE PROTEIN
Q02156,CHEMBL3582,SINGLE PROTEIN
Q02156,CHEMBL2093867,PROTEIN FAMILY
Q02156,CHEMBL2096620,PROTEIN FAMILY
Q02750,CHEMBL3587,SINGLE PROTEIN
Q02750,CHEMBL2111289,PROTEIN FAMILY
Q02750,CHEMBL2111351,PROTEIN FAMILY
Q02750,CHEMBL3885566,PROTEIN FAMILY
Q02763,CHEMBL4128,SINGLE PROTEIN
Q02763,CHEMBL2111375,SELECTIVITY GROUP
Q02779,CHEMBL2873,SINGLE PROTEIN
Q04759,CHEMBL3920,SINGLE PROTEIN
Q04759,CHEMBL2093867,PROTEIN FAMILY
Q04759,CHEMBL2096620,PROTEIN FAMILY
Q04771,CHEMBL5903,SINGLE PROTEIN
Q04912,CHEMBL2689,SINGLE PROTEIN
Q05397,CHEMBL2695,SINGLE PROTEIN
Q05397,CHEMBL3301389,PROTEIN-PROTEIN INTERACTION
Q05513,CHEMBL2093867,PROTEIN FAMILY
Q05513,CHEMBL3438,SINGLE PROTEIN
Q05513,CHEMBL3885627,PROTEIN FAMILY
Q05655,CHEMBL2996,SINGLE PROTEIN
Q05655,CHEMBL2093867,PROTEIN FAMILY
Q05655,CHEMBL2096620,PROTEIN FAMILY
Q05823,CHEMBL3575,SINGLE PROTEIN
